"","H","L","S","B","n","C"
"1",1,0.1,40,1,1,0
"2",2,0.1,40,1,1,0
"3",1,0.2,40,1,1,0
"4",2,0.2,40,1,1,0.25
"5",1,0.3,40,1,1,0.142857142857143
"6",2,0.3,40,1,1,0.214285714285714
"7",1,0.4,40,1,1,0.222222222222222
"8",2,0.4,40,1,1,0.166666666666667
"9",1,0.5,40,1,1,0.666666666666667
"10",2,0.5,40,1,1,0.583333333333333
"11",1,0.6,40,1,1,0.724137931034483
"12",2,0.6,40,1,1,1.10344827586207
"13",1,0.7,40,1,1,0.945945945945946
"14",2,0.7,40,1,1,1.56756756756757
"15",1,0.8,40,1,1,1.19512195121951
"16",2,0.8,40,1,1,1.65853658536585
"17",1,0.9,40,1,1,1.34782608695652
"18",2,0.9,40,1,1,3.1304347826087
"19",1,0.1,40,2,1,0
"20",2,0.1,40,2,1,0
"21",1,0.2,40,2,1,0.111111111111111
"22",2,0.2,40,2,1,0
"23",1,0.3,40,2,1,0.0666666666666667
"24",2,0.3,40,2,1,0.0666666666666667
"25",1,0.4,40,2,1,0.166666666666667
"26",2,0.4,40,2,1,0.166666666666667
"27",1,0.5,40,2,1,0.227272727272727
"28",2,0.5,40,2,1,0.136363636363636
"29",1,0.6,40,2,1,0.5
"30",2,0.6,40,2,1,0.166666666666667
"31",1,0.7,40,2,1,0.615384615384615
"32",2,0.7,40,2,1,0.435897435897436
"33",1,0.8,40,2,1,0.627906976744186
"34",2,0.8,40,2,1,0.720930232558139
"35",1,0.9,40,2,1,1.30612244897959
"36",2,0.9,40,2,1,1.08163265306122
"37",1,0.1,40,1,2,0.25
"38",2,0.1,40,1,2,0
"39",1,0.2,40,1,2,0
"40",2,0.2,40,1,2,0
"41",1,0.3,40,1,2,0.2
"42",2,0.3,40,1,2,0.466666666666667
"43",1,0.4,40,1,2,0.285714285714286
"44",2,0.4,40,1,2,0.0476190476190476
"45",1,0.5,40,1,2,0.230769230769231
"46",2,0.5,40,1,2,0.115384615384615
"47",1,0.6,40,1,2,0.379310344827586
"48",2,0.6,40,1,2,0.275862068965517
"49",1,0.7,40,1,2,0.666666666666667
"50",2,0.7,40,1,2,1.18181818181818
"51",1,0.8,40,1,2,1.33333333333333
"52",2,0.8,40,1,2,1.38461538461538
"53",1,0.9,40,1,2,1.97560975609756
"54",2,0.9,40,1,2,2.4390243902439
"55",1,0.1,40,2,2,0
"56",2,0.1,40,2,2,0
"57",1,0.2,40,2,2,0
"58",2,0.2,40,2,2,0.125
"59",1,0.3,40,2,2,0
"60",2,0.3,40,2,2,0.1
"61",1,0.4,40,2,2,0.285714285714286
"62",2,0.4,40,2,2,0.285714285714286
"63",1,0.5,40,2,2,0.434782608695652
"64",2,0.5,40,2,2,0.521739130434783
"65",1,0.6,40,2,2,0.828571428571429
"66",2,0.6,40,2,2,0.6
"67",1,0.7,40,2,2,0.613636363636364
"68",2,0.7,40,2,2,0.636363636363636
"69",1,0.8,40,2,2,1.6530612244898
"70",2,0.8,40,2,2,0.775510204081633
"71",1,0.9,40,2,2,2.69230769230769
"72",2,0.9,40,2,2,1.28846153846154
"73",1,0.1,40,1,3,0
"74",2,0.1,40,1,3,0
"75",1,0.2,40,1,3,0.2
"76",2,0.2,40,1,3,0.1
"77",1,0.3,40,1,3,0.0625
"78",2,0.3,40,1,3,0
"79",1,0.4,40,1,3,0.277777777777778
"80",2,0.4,40,1,3,0.166666666666667
"81",1,0.5,40,1,3,0.45
"82",2,0.5,40,1,3,0.45
"83",1,0.6,40,1,3,0.925925925925926
"84",2,0.6,40,1,3,0.777777777777778
"85",1,0.7,40,1,3,1.19354838709677
"86",2,0.7,40,1,3,1.54838709677419
"87",1,0.8,40,1,3,1.57142857142857
"88",2,0.8,40,1,3,1
"89",1,0.9,40,1,3,2.11904761904762
"90",2,0.9,40,1,3,1.4047619047619
"91",1,0.1,40,2,3,0
"92",2,0.1,40,2,3,0
"93",1,0.2,40,2,3,0
"94",2,0.2,40,2,3,0
"95",1,0.3,40,2,3,0.230769230769231
"96",2,0.3,40,2,3,0.615384615384615
"97",1,0.4,40,2,3,0.318181818181818
"98",2,0.4,40,2,3,0.318181818181818
"99",1,0.5,40,2,3,0.294117647058824
"100",2,0.5,40,2,3,0.764705882352941
"101",1,0.6,40,2,3,0.457142857142857
"102",2,0.6,40,2,3,0.771428571428571
"103",1,0.7,40,2,3,0.314285714285714
"104",2,0.7,40,2,3,0.742857142857143
"105",1,0.8,40,2,3,0.578947368421053
"106",2,0.8,40,2,3,1.18421052631579
"107",1,0.9,40,2,3,2.575
"108",2,0.9,40,2,3,1.5
"109",1,0.1,40,1,4,0
"110",2,0.1,40,1,4,0
"111",1,0.2,40,1,4,0.1
"112",2,0.2,40,1,4,0
"113",1,0.3,40,1,4,0.0769230769230769
"114",2,0.3,40,1,4,0.0769230769230769
"115",1,0.4,40,1,4,0.470588235294118
"116",2,0.4,40,1,4,0.411764705882353
"117",1,0.5,40,1,4,0.714285714285714
"118",2,0.5,40,1,4,0.238095238095238
"119",1,0.6,40,1,4,0.444444444444444
"120",2,0.6,40,1,4,0.518518518518518
"121",1,0.7,40,1,4,1.74193548387097
"122",2,0.7,40,1,4,1.32258064516129
"123",1,0.8,40,1,4,2.71052631578947
"124",2,0.8,40,1,4,1.05263157894737
"125",1,0.9,40,1,4,2.34782608695652
"126",2,0.9,40,1,4,1.23913043478261
"127",1,0.1,40,2,4,0
"128",2,0.1,40,2,4,0
"129",1,0.2,40,2,4,0.125
"130",2,0.2,40,2,4,0
"131",1,0.3,40,2,4,0.173913043478261
"132",2,0.3,40,2,4,0.608695652173913
"133",1,0.4,40,2,4,0.269230769230769
"134",2,0.4,40,2,4,0.5
"135",1,0.5,40,2,4,0.291666666666667
"136",2,0.5,40,2,4,0.333333333333333
"137",1,0.6,40,2,4,0.192307692307692
